schema_version,execution_index,run_id,experiment_id,stage,split,mode,workload_ids,target_id,neighbor_ids,combination_key,colocation_id,resource,pressure_requested,pressure_applied,repeat,seed,warmup_s,duration_s,sample_interval_s,cooldown_s,host_id,gpu_index,display_index,window_layout,require_visible_windows,max_gpu_temp_c,config_sha256,root_commit,run_directory,game_entrypoints,game_sha256s,row_sha256
2,1,formal-effectiveness-v1__colocation__pyxel_jump+pyxel_platformer__cpu_compute__p100__r02,formal-effectiveness-v1,colocation-main,train,colocation,"[""pyxel_jump"",""pyxel_platformer""]",pyxel_jump,"[""pyxel_platformer""]",pyxel_jump+pyxel_platformer,pyxel_jump+pyxel_platformer__r02,cpu_compute,1,1,2,539541111971655804,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__pyxel_jump+pyxel_platformer__cpu_compute__p100__r02,"{""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",9cdd9a189e50c4b1a0e52da5cc75c9f678ffbe9f62262cb9c0b346f6fdf1e7cd
2,2,formal-effectiveness-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__cpu_compute__p100__r01,formal-effectiveness-v1,colocation-extra-test,extra_test,extra_test,"[""pyxel_bubbles"",""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles,"[""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake,pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,cpu_compute,1,1,1,2588038058385549033,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__cpu_compute__p100__r01,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3""}",ab11212c3019de66aaff6153a9be6c04faa7964c25bec052088b61e94257cb9b
2,3,formal-effectiveness-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__cpu_compute__p100__r02,formal-effectiveness-v1,colocation-main,validation,colocation,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",pyxel_shooter,"[""pyxel_snake"",""space_rescue""]",pyxel_shooter+pyxel_snake+space_rescue,pyxel_shooter+pyxel_snake+space_rescue__r02,cpu_compute,1,1,2,11797324761857393826,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__cpu_compute__p100__r02,"{""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",0f92c98c436588c117e06b9a4dd1331d9072e541bc392c437516538f7b553cc3
2,4,formal-effectiveness-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-extra-test,extra_test,extra_test,"[""daylight"",""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight,"[""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight+pyxel_bubbles+pyxel_shooter+space_rescue,daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,cpu_compute,1,1,3,15073077576397670072,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__cpu_compute__p100__r03,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",411559612986bba4d429d4b711edd411286ca5f334482c0057fd60701ebbcd2e
2,5,formal-effectiveness-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__cpu_compute__p100__r01,formal-effectiveness-v1,colocation-extra-test,extra_test,extra_test,"[""mega_wing"",""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing+pyxel_shooter+pyxel_snake+space_rescue,mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,cpu_compute,1,1,1,6250839922291618935,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__cpu_compute__p100__r01,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",f3ad979e29796f3637b7944d38b99d0df227ab203a9b9e631a501d26b4215740
2,6,formal-effectiveness-v1__colocation__mega_wing+pyxel_snake+space_rescue__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,train,colocation,"[""mega_wing"",""pyxel_snake"",""space_rescue""]",mega_wing,"[""pyxel_snake"",""space_rescue""]",mega_wing+pyxel_snake+space_rescue,mega_wing+pyxel_snake+space_rescue__r03,cpu_compute,1,1,3,8142017781895895066,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__mega_wing+pyxel_snake+space_rescue__cpu_compute__p100__r03,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",f46ebc2ebcdc815b246e11e88092293c6579078e86bace12b159920170b7cc32
2,7,formal-effectiveness-v1__colocation__daylight+pyxel_bubbles+pyxel_platformer__cpu_compute__p100__r02,formal-effectiveness-v1,colocation-main,test,colocation,"[""daylight"",""pyxel_bubbles"",""pyxel_platformer""]",daylight,"[""pyxel_bubbles"",""pyxel_platformer""]",daylight+pyxel_bubbles+pyxel_platformer,daylight+pyxel_bubbles+pyxel_platformer__r02,cpu_compute,1,1,2,3256605726736093810,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__daylight+pyxel_bubbles+pyxel_platformer__cpu_compute__p100__r02,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",281f957aa25d9f45fc898d1363805bc160d6642cfa166898efb9c74ecd13e0ba
2,8,formal-effectiveness-v1__colocation__daylight+mega_wing__cpu_compute__p100__r01,formal-effectiveness-v1,colocation-main,test,colocation,"[""daylight"",""mega_wing""]",daylight,"[""mega_wing""]",daylight+mega_wing,daylight+mega_wing__r01,cpu_compute,1,1,1,10943283578462191745,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__daylight+mega_wing__cpu_compute__p100__r01,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f""}",4759858d587862391426b0e43738e3fb56f45229d03bd4cf0cf49865e55da20a
2,9,formal-effectiveness-v1__colocation__mega_wing+pyxel_platformer+pyxel_shooter__cpu_compute__p100__r02,formal-effectiveness-v1,colocation-main,test,colocation,"[""mega_wing"",""pyxel_platformer"",""pyxel_shooter""]",mega_wing,"[""pyxel_platformer"",""pyxel_shooter""]",mega_wing+pyxel_platformer+pyxel_shooter,mega_wing+pyxel_platformer+pyxel_shooter__r02,cpu_compute,1,1,2,13682341556401358875,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__mega_wing+pyxel_platformer+pyxel_shooter__cpu_compute__p100__r02,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563""}",fa5cc4435f3e0b96b079ab62fdc1f6f38f1457763918203df9accd11cc3bee19
2,10,formal-effectiveness-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__cpu_compute__p100__r02,formal-effectiveness-v1,colocation-extra-test,extra_test,extra_test,"[""daylight"",""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight,"[""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight+pyxel_bubbles+pyxel_shooter+space_rescue,daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r02,cpu_compute,1,1,2,1072938454727186155,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__cpu_compute__p100__r02,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",59b4c10307faab956565b2281ae85bc4614cce93928d9731b0f010a84ea2b526
2,11,formal-effectiveness-v1__colocation__pyxel_bubbles+pyxel_jump+pyxel_platformer__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,train,colocation,"[""pyxel_bubbles"",""pyxel_jump"",""pyxel_platformer""]",pyxel_bubbles,"[""pyxel_jump"",""pyxel_platformer""]",pyxel_bubbles+pyxel_jump+pyxel_platformer,pyxel_bubbles+pyxel_jump+pyxel_platformer__r03,cpu_compute,1,1,3,14613532575322629756,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__pyxel_bubbles+pyxel_jump+pyxel_platformer__cpu_compute__p100__r03,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",bbdf16103c876c533cfb185675b41d3fe8307235ce311fa87c7c1541c03c99b2
2,12,formal-effectiveness-v1__colocation__mega_wing+pyxel_jump+pyxel_platformer__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,train,colocation,"[""mega_wing"",""pyxel_jump"",""pyxel_platformer""]",mega_wing,"[""pyxel_jump"",""pyxel_platformer""]",mega_wing+pyxel_jump+pyxel_platformer,mega_wing+pyxel_jump+pyxel_platformer__r03,cpu_compute,1,1,3,8971933576963466641,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__mega_wing+pyxel_jump+pyxel_platformer__cpu_compute__p100__r03,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",6789207d164d3e3486f70f97993e7273aebd596624bbc3c91b75a0b9f1096651
2,13,formal-effectiveness-v1__colocation__pyxel_platformer+pyxel_shooter+space_rescue__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,validation,colocation,"[""pyxel_platformer"",""pyxel_shooter"",""space_rescue""]",pyxel_platformer,"[""pyxel_shooter"",""space_rescue""]",pyxel_platformer+pyxel_shooter+space_rescue,pyxel_platformer+pyxel_shooter+space_rescue__r03,cpu_compute,1,1,3,2378095048118436956,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__pyxel_platformer+pyxel_shooter+space_rescue__cpu_compute__p100__r03,"{""pyxel_platformer"":""games/pyxel/10_platformer.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",9ccbc513bcd747f944c4e1617cb4427bdf3adb3e1bbb2ec88bda6be34b9907d5
2,14,formal-effectiveness-v1__colocation__daylight+pyxel_bubbles__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,validation,colocation,"[""daylight"",""pyxel_bubbles""]",daylight,"[""pyxel_bubbles""]",daylight+pyxel_bubbles,daylight+pyxel_bubbles__r03,cpu_compute,1,1,3,6488750937728922443,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__daylight+pyxel_bubbles__cpu_compute__p100__r03,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900""}",7cf5825a7e6921e9e5520d5adefa7dffec50fe0da00ff4d27609e3f4fe7bb12d
2,15,formal-effectiveness-v1__colocation__daylight+pyxel_bubbles+space_rescue__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,train,colocation,"[""daylight"",""pyxel_bubbles"",""space_rescue""]",daylight,"[""pyxel_bubbles"",""space_rescue""]",daylight+pyxel_bubbles+space_rescue,daylight+pyxel_bubbles+space_rescue__r03,cpu_compute,1,1,3,5061490885627023538,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__daylight+pyxel_bubbles+space_rescue__cpu_compute__p100__r03,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",092d2813368c8b53b66c5b42efe85c4478e0085088de406a611f1b1ad7a6750b
2,16,formal-effectiveness-v1__extra__mega_wing+pyxel_bubbles+pyxel_jump+space_rescue__cpu_compute__p100__r01,formal-effectiveness-v1,colocation-extra-test,extra_test,extra_test,"[""mega_wing"",""pyxel_bubbles"",""pyxel_jump"",""space_rescue""]",mega_wing,"[""pyxel_bubbles"",""pyxel_jump"",""space_rescue""]",mega_wing+pyxel_bubbles+pyxel_jump+space_rescue,mega_wing+pyxel_bubbles+pyxel_jump+space_rescue__r01,cpu_compute,1,1,1,16989947642046775293,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__extra__mega_wing+pyxel_bubbles+pyxel_jump+space_rescue__cpu_compute__p100__r01,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_jump"":""games/pyxel/02_jump_game.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",aed8431463fddb5635897cb16395408ba4832014d9abeffc36e5a2b8570aadef
2,17,formal-effectiveness-v1__colocation__pyxel_bubbles+pyxel_platformer+pyxel_shooter__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,validation,colocation,"[""pyxel_bubbles"",""pyxel_platformer"",""pyxel_shooter""]",pyxel_bubbles,"[""pyxel_platformer"",""pyxel_shooter""]",pyxel_bubbles+pyxel_platformer+pyxel_shooter,pyxel_bubbles+pyxel_platformer+pyxel_shooter__r03,cpu_compute,1,1,3,8498269675985014006,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__pyxel_bubbles+pyxel_platformer+pyxel_shooter__cpu_compute__p100__r03,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563""}",970945e04a797a44eb140686c3a51ee3a0681d94665f620736050607237a666c
2,18,formal-effectiveness-v1__colocation__pyxel_jump+pyxel_platformer+space_rescue__cpu_compute__p100__r03,formal-effectiveness-v1,colocation-main,train,colocation,"[""pyxel_jump"",""pyxel_platformer"",""space_rescue""]",pyxel_jump,"[""pyxel_platformer"",""space_rescue""]",pyxel_jump+pyxel_platformer+space_rescue,pyxel_jump+pyxel_platformer+space_rescue__r03,cpu_compute,1,1,3,11073372992232688367,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__pyxel_jump+pyxel_platformer+space_rescue__cpu_compute__p100__r03,"{""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",fc7c92a8f2cab7bec53c804f94026525a3481c3f1b9f3a71850d71c7ad13f342
2,19,formal-effectiveness-v1__colocation__mega_wing+pyxel_snake__cpu_compute__p100__r01,formal-effectiveness-v1,colocation-main,train,colocation,"[""mega_wing"",""pyxel_snake""]",mega_wing,"[""pyxel_snake""]",mega_wing+pyxel_snake,mega_wing+pyxel_snake__r01,cpu_compute,1,1,1,1304870235819937978,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__mega_wing+pyxel_snake__cpu_compute__p100__r01,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_snake"":""games/pyxel/07_snake.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3""}",bd8cb5341c9b62cb3010365ae76994a3fabff381e95682ee760b5bea3f37bfe9
2,20,formal-effectiveness-v1__colocation__daylight+pyxel_platformer+pyxel_shooter__cpu_compute__p100__r01,formal-effectiveness-v1,colocation-main,validation,colocation,"[""daylight"",""pyxel_platformer"",""pyxel_shooter""]",daylight,"[""pyxel_platformer"",""pyxel_shooter""]",daylight+pyxel_platformer+pyxel_shooter,daylight+pyxel_platformer+pyxel_shooter__r01,cpu_compute,1,1,1,4715957220980102501,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,a3dff8e23947af7a1f707a1f42d8f93c174f4319793309adacb9ca4b12aff028,0fd49623591e8e13e140a1551085bea01e08e9c3,data/raw/formal-effectiveness-v1/formal-effectiveness-v1__colocation__daylight+pyxel_platformer+pyxel_shooter__cpu_compute__p100__r01,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563""}",0be11194f8c53b74e51bc92cb84541f28fb17757bce86925fa41b82d9d1e72a0
